cell,family,segments,updates,time_s,cumulative_net_difference_kwh,farm_MW,noyaw_MW
OC-73090801__T1,T1,1,2,1540,24.923012656967693,6.0514705625,6.1270065
OC-73090801__T1,T1,1,2,1560,24.242206309745473,6.09238665625,6.23983271875
OC-73090801__T1,T1,1,2,1580,23.832686908703806,6.17679725,6.24501909375
OC-73090801__T1,T1,1,2,1600,23.91282517093998,6.199787125,6.05946128125
OC-73090801__T1,T1,1,2,1620,24.109921236912196,5.5689210625,5.607870375
OC-73090801__T1,T1,1,2,1640,23.764883794203865,5.7818493125,5.84372103125
OC-73090801__T1,T1,1,2,1660,24.121688422676087,5.34271509375,5.23574053125
OC-73090801__T1,T1,1,2,1680,24.604408438301085,5.8047924375,5.82832846875
OC-73090801__T1,T1,1,2,1700,23.929660401842753,5.2339606875,5.28478521875
OC-73090801__T1,T1,1,2,1720,23.600958228231644,5.062974984375,5.22020040625
OC-73090801__T1,T1,1,2,1740,23.392604194377476,5.09071878125,5.08626990625
OC-73090801__T1,T1,1,2,1760,23.493946178752477,5.5192388125,5.5153045625
OC-73090801__T1,T1,1,2,1780,23.57731030288442,6.2212494375,6.1713634375
OC-73090801__T1,T1,1,2,1800,23.402630396285694,5.86675109375,5.83534034375
OC-73090801__T1,T1,1,2,1820,23.368598793855142,5.8892141875,5.92460684375
OC-73090801__T1,T1,1,2,1840,22.96315776781347,6.05854309375,6.10428228125
OC-73090801__T1,T1,1,2,1860,23.482832819896807,6.734409125,6.5284555625
OC-73090801__T1,T1,1,2,1880,23.83904441364681,6.1925140625,6.18578709375
OC-73090801__T1,T1,1,2,1900,24.490360021285696,6.59602846875,6.43668275
OC-73090801__T1,T1,1,2,1920,24.949083838994028,5.86692603125,5.812755875
OC-73090801__T1,T1,1,2,1940,25.442590232223196,5.78484728125,5.7363695625
OC-73090801__T1,T1,1,2,1960,25.450234167987084,6.11679915625,6.0445961875
OC-73090801__T1,T1,1,2,1980,25.41239992666764,5.66136475,5.69120115625
OC-73090801__T1,T1,1,2,2000,25.329821188820418,5.6308685,5.62899421875
OC-73090801__T1,T1,1,2,2020,25.72958752041764,5.35239078125,5.2940413125
OC-73090801__T1,T1,1,2,2040,26.034488291250973,5.6431016875,5.59270853125
OC-73090801__T1,T1,1,2,2060,26.273049351146803,5.74506803125,5.699720625
OC-73090801__T1,T1,1,2,2080,26.528378215730143,6.31413621875,6.24878515625
OC-73090801__T1,T1,1,2,2100,26.727978812084302,6.112901546875,6.075332921875
